LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:43b28d,es noch nicht geschafft,haven't gotten around to it yet,,Player,AuntIntroEnd
line:7a4449,heute ist doch ein\nguter Tag dafür!,well today's as good a day\nas any!,,Original,AuntIntroEnd
line:69a1a3,...,...,Claire is silent because she has been avoiding this hike - she's nervous it will too hard.,Player,AuntIntroEnd
line:665732,nimm einfach den <color=red>Weißküstenpfad</color>\nund geh an der Gabelung <color=red>nach Norden</color>,just take <color=red>White Beach Trail</color>\nand head <color=red>north</color> at the fork,,Original,AuntIntroEnd
line:4a3aac,dann folg einfach den Schildern\nzum <color=red>Habichtsgipfel</color>,then follow the signs\nfor <color=red>Hawk Peak</color>,,Original,AuntIntroEnd
line:afa6b1,kein Problem!,no problem!,,Original,AuntIntroEnd
line:e4f197,der <color=red>Habichtsgipfel</color> ist wirklich wunderschön,<color=red>Hawk Peak</color> really is wonderful,Only if the player continues to talk to the Aunt.,Original,AuntChat
line:8866aa,du wirst ihn lieben!,you're going to love it!,,Original,AuntChat
line:3f786f,ja... ich hab schon viel davon gehört,yeah... i've heard a lot about it,,Player,AuntChat
line:1a3a17,es ist schon eine ordentliche Wanderung,"it's quite a hike, sure",,Original,AuntChat
line:5178bc,aber unsere Familie geht\nschon seit Generationen hin,but our family has been going\nthere for generations,,Original,AuntChat
line:67dceb,jup,yup,,Player,AuntChat
line:e2d813,die heißen Quellen am Gipfel\nerzeugen diese tollen Aufwinde,the hot springs at the peak\ncreate these amazing updrafts,,Original,AuntChat
line:40798a,"das Gefühl, da oben zu fliegen,\nist unglaublich",the feeling of flying up there\nis incredible,,Original,AuntChat
line:f124e6,aber,but,,Player,AuntChat
line:a1168c,ist das nicht,isn't it,,Player,AuntChat
line:c8cb65,irgendwie gefährlich?,kind of dangerous?,,Player,AuntChat
line:65f725,eigentlich nicht,not really,,Original,AuntChat
line:2dc6ae,für dich wird das kein Problem sein!,it'll be no problem for you!,,Original,AuntChat
line:a9b82f,hmm,hmm,,Player,AuntChat
line:0acd94,auf was für einen Anruf\nwartest du eigentlich?,so what kind of call\nare you waiting for?,Only if the player continues to talk to the Aunt.,Player,AuntChat
line:e495d6,oh.. äh,oh.. um,,Player,AuntChat
line:e1eca7,du weißt schon...,you know...,,Player,AuntChat
line:fe9497,...,...,,Player,AuntChat
line:39e326,die Sache halt,the thing,,Player,AuntChat
line:a48a7c,...,...,,Original,AuntChat
line:9c8c35,ohhh! tut mir leid,ohhh! i'm sorry,,Original,AuntChat
line:4d933a,ich hab's vergessen,i forgot,,Original,AuntChat
line:04095c,"mach dir keine Sorgen, Schätzchen",don't worry about it dear,,Original,AuntChat
line:0c7e66,"ich bin sicher, das wird schon\nalles gut",i'm sure it'll all work\nout fine,,Original,AuntChat
line:69afd0,glaub ich,i think,,Original,AuntChat
line:e13932,"eine schöne Wanderung hilft dir,\nauf andere Gedanken zu kommen",a nice hike will help you\ntake your mind off it,,Original,AuntChat
line:109615,"ahh, ist das ein schöner Tag",ahh sure is a nice day,Only if the player continues to talk to the Aunt.,Original,AuntChat
line:923d86,"ich liebe es hier, weißt du?","i love it here, you know?",,Original,AuntChat
line:2640d9,"ja, es ist schön","yeah, it's nice",,Player,AuntChat
line:797bbe,aber die Stadt ist auch\nganz schön gut!,the city's pretty good\ntoo though!,,Player,AuntChat
line:a96f99,es gibt coole Events,it's got cool events,,Player,AuntChat
line:af8fd9,gutes Essen,great food,,Player,AuntChat
line:ba2c5e,und außerdem,and also,,Player,AuntChat
line:2eade3,Handyempfang!,cellphone reception!,,Player,AuntChat
line:c73cbb,"wir kriegen auch bald\nEmpfang, weißt du!","we'll get reception too\nsoon, ya know!",,Original,AuntChat
line:89c559,sie bauen gerade einen\nneuen Funkturm,they're building a new\nradio tower,,Original,AuntChat
line:49e489,oh,oh,,Player,AuntChat
line:6b6e0e,das wird schön,that'll be nice,,Player,AuntChat
line:d4c9d3,"ahh, es ist so schön hier","ahh, it's so lovely here",Only if the player continues to talk to the Aunt.,Player,AuntChat
line:223ea1,ich könnte hier den ganzen Tag sitzen,i could sit here all day,,Player,AuntChat
line:de9d91,und das werde ich auch,and i will,,Player,AuntChat
line:b7a7b0,CLAIRE!,CLAIRE!,,Original,KidStart
line:c4bfc9,wusstest du...,did you know...,,Original,KidStart
line:89c5de,"dass du <color=red>{{JumpButton}} beim Rennen halten</color>\nkannst, um durch die Luft zu gleiten?!?",you can <color=red>hold {{JumpButton}} while running</color>\nto glide through the air?!?,,Original,KidStart
line:63f4be,na klar!,of course!,,Player,KidStart
line:bc1f77,das weiß doch jeder,everyone knows that,,Player,KidStart
line:59da5d,warum fragst du?,why do you ask?,,Player,KidStart
line:11dc70,weiß nich,i dunno,,Original,KidStart
line:8d1f3a,"hatte einfach das Gefühl,\ndu wolltest es wissen",i just had a feeling\nyou might want to know,,Original,KidStart
line:5f1cb6,äh,um,,Player,KidStart
line:9857a1,ok,ok,,Player,KidStart
line:6b0d0c,"warte, äh","wait, uh",Only if the player continues to talk.,Player,KidStart
line:2c740b,wie geht das Gleiten nochmal?,how do i glide again?,,Player,KidStart
line:a5b030,"du hältst <color=red>{{JumpButton}} beim Rennen</color>, Dummkopf!",you <color=red>hold {{JumpButton}} while running</color> dummy!,,Original,KidStart
line:131a7c,"cool, wollte nur sicher gehen,\ndass du's nicht vergessen hast",cool just making sure\nyou haven't forgotten,,Player,KidStart
line:975e5c,ich vergesse nie etwas!,i never forget anything!,,Original,KidStart
line:845d4e,ich bin ein Genie,i'm a genius,,Original,KidStart
line:32fa08,"ok, ein letztes Mal",ok one last time,Only if the player continues to talk.,Player,KidStart
line:b08a47,was hast du nochmal gesagt?,what was that thing you said?,,Player,KidStart
line:703f8a,<color=red>{{JumpButton}} BEIM RENNEN HALTEN ZUM GLEITEN!!!</color>,<color=red>HOLD {{JumpButton}} WHILE RUNNING TO GLIDE!!!</color>,,Original,KidStart
line:5746d5,"ok, danke",ok thanks,,Player,KidStart
line:509a8c,"im Ernst, nur noch einmal",seriously just one last time,,Player,KidStart
line:1a38b1,HALTEN,HOLD,Only if the player continues to talk.,Original,KidStart
line:77a928,{{JumpButton}},{{JumpButton}},,Original,KidStart
line:f7a6f2,ZUM,TO,,Original,KidStart
line:193b8b,GLEITEN!!!!,GLIDE!!!!,,Original,KidStart
line:abcac6,"ok, ich verspreche, ich vergess's nicht",ok i promise i won't forget,,Player,KidStart
line:ff18cb,nur noch ei-,just one more-,Only if the player continues to talk.,Player,KidStart
line:e27b74,NEIN!,NO!,,Original,KidStart
line:81083b,NEIIIN!,NOOOO!,,Original,KidStart
line:9ab14d,NEEEEEEEEEEEEEEEEIN!,NOOOOOOOOOOOOOOOOOOO!,,Original,KidStart
line:767e99,NICHT MEHR!!!!,NO MORE!!!!,,Original,KidStart
line:29cac4,HEY DU,HEY YOU,,Original,OtherKidStart
line:17a485,FINDE MIR 15 MUSCHELN!,FIND ME 15 SHELLS!,,Original,OtherKidStart
line:c5ecea,was! wieso?,what! why?,,Player,OtherKidStart
line:e4e484,ich will sie halt,i want em,,Original,OtherKidStart
line:88d371,"ja, aber wieso","yeah, but why",,Player,OtherKidStart
line:7a437e,das ist geheim!,it's a secret!,,Original,OtherKidStart
line:a889a8,"heh, ok","heh, ok",,Player,OtherKidStart
line:ad9058,ich halt die Augen offen,i'll keep an eye out,,Player,OtherKidStart
line:875ed5,"halt BEIDE Augen offen, bitte!","keep BOTH eyes out, please!",,Original,OtherKidStart
line:feb9a5,"hey, ich hab deine Muscheln","hey, i got your shells",If the player returns with the shells.,Player,OtherKidStart
line:051e4c,ooooo!,ooooo!,,Original,OtherKidStart
line:c72422,die nehm ich!,i'll take em!,,Original,OtherKidStart
line:e1241c,was jetzt,so now what,,Player,OtherKidStart
line:3e628d,was,what,,Original,OtherKidStart
line:831bce,ich meine,i mean,,Player,OtherKidStart
line:147c2e,äh,uh,,Player,OtherKidStart
line:1b9367,krieg ich was dafür,do i get anything,,Player,OtherKidStart
line:2fde5e,nein!,no!,,Original,OtherKidStart
line:05680a,"mann, nicht mal ein Dankeschön?","geez, not even a thank you?",,Player,OtherKidStart
line:16ea80,das ist nicht sehr nett,that's not very nice,,Player,OtherKidStart
line:bae3c7,"ich tu, was zum Überleben nötig ist!",i do what it takes to survive!,,Original,OtherKidStart
line:648a49,ich hab dir nie was versprochen,i never promised you anything,,Original,OtherKidStart
line:caf7cc,...,...,,Player,OtherKidStart
line:8e0304,eigentlich,actually,,Original,OtherKidStart
line:9d6eff,hab ich doch was für dich,i do have something for you,,Original,OtherKidStart
line:4d16a1,einen neuen Job,a new job,,Original,OtherKidStart
line:921eeb,ich hab schon einen Job,i already have a job,,Player,OtherKidStart
line:4ab932,dann mach das halt dein Nebenjob,well make this your side gig,,Original,OtherKidStart
line:1054b1,und wenn ich nicht will,what if i don't take it,,Player,OtherKidStart
line:5ac191,dein Verlust!,it's your loss!,,Original,OtherKidStart
line:2f60fc,gute Jobs sind schwer zu finden,good jobs are hard to find,,Original,OtherKidStart
line:0c16fe,...,...,,Original,OtherKidStart
line:c46b69,"also, was wird's?",so what will it be?,Jumps to ConsiderKidQuest.,Original,OtherKidStart
line:21d908,was ist eigentlich mit den Muscheln?,so what's the deal with the shells?,If the player talks to them again.,Player,OtherKidStart
line:414248,geht dich nichts an!,it's none of your business!,,Original,OtherKidStart
line:14cf86,außer,except,,Original,OtherKidStart
line:dfc345,"das mit den 15 Muscheln,\ndie du mir besorgst",for the business of you\ngetting me 15 of them,,Original,OtherKidStart
line:2e35f7,ich hab bisher {{Item_Shell}} Muscheln!,i got {{Item_Shell}} shells so far!,If the player talks to them again with some shells.,Player,OtherKidStart
line:0e8aeb,"hey, kann ich dich kurz\nwas fragen",hey can i ask you\na quick question,,Original,OtherKidStart
line:0a19d0,klar,sure,,Player,OtherKidStart
line:8a7060,ist {{Item_Shell}} mehr oder weniger als 15,is {{Item_Shell}} more or less than 15,,Original,OtherKidStart
line:02f9ee,"äh,","uh,",,Player,OtherKidStart
line:e8e0b5,weniger?,less?,,Player,OtherKidStart
line:588d2f,ja,yeah,,Original,OtherKidStart
line:4b7c40,stimmt,it is,,Original,OtherKidStart
line:53148f,wenn du die Ware nicht hast...,if you don't have the goods...,,Original,OtherKidStart
line:96850b,...dann verschwende nicht meine Zeit!,...then don't waste my time!,,Original,OtherKidStart
line:b94465,"ok, mann!",okay geez!,,Player,OtherKidStart
line:961fbd,was soll ich sagen,what can i say,,Original,OtherKidStart
line:974e98,ich führ ein strenges Regiment,i run a tight ship,,Original,OtherKidStart
line:e38563,hmmm,hmmm,,Original,FoxStart
line:b29d15,ich wollte eigentlich zum\n<color=red>Habichtsgipfel</color> wandern,i was planning on hiking\nto <color=red>Hawk Peak</color>,,Original,FoxStart
line:7ba030,aber der Weg wurde plötzlich richtig steil,but the path suddenly got really steep,,Original,FoxStart
line:83c6cd,"denkst du, man kann da hochklettern?",do you think it's climbable?,,Player,FoxStart
line:bb9ad1,"na ja, würde gehen, wenn ich eine\n<color=red>goldene Feder</color> hätte","well, it would be if i had\na <color=red>golden feather</color>",,Original,FoxStart
line:c5407a,die verkaufen sie wohl\nim <color=red>Besucherzentrum</color>,apparently they sell them\nat the <color=red>Visitor Center</color>,,Original,FoxStart
line:4cacb9,und wie funktionieren <color=red>goldene Federn</color>?,"so, how do <color=red>golden feathers</color> work?",If the player talks to them again.,Player,FoxStart
line:37e9e6,"na ja, wenn du eine\nin der Tasche hast","well, when you've got\none in your pocket",,Original,FoxStart
line:477585,fühlst du dich viel leichter,you'll feel much lighter,,Original,FoxStart
line:3bbcd0,dann klettert man leichter\ndie Felsen hoch!,that makes it easier to\nclimb up cliffs!,,Original,FoxStart
line:e82492,woah,woah,,Player,FoxStart
line:5dd075,das ist ziemlich cool,that's pretty cool,,Player,FoxStart
line:9d3ba7,ist es auch!,it is indeed!,,Original,FoxStart
line:2c9d43,wieso gehst du eigentlich zum Habichtsgipfel?,so why are you going to Hawk Peak?,If the player talks to them again.,Player,FoxStart
line:cf58a9,ich will oben tolle\nNaturfotos machen,i'm going to take some great\nnature shots from the top,,Original,FoxStart
line:f9074d,"so professionell fotografier ich jetzt auch nicht, aber...",i wouldn't call myself a photographer but...,,Original,FoxStart
line:02b8b9,ist einfach ein cooles Hobby,it's just a fun hobby,,Original,FoxStart
line:bf4b14,ich geh da auch hin!,i'm going there too!,,Player,FoxStart
line:fd2045,"oh, echt?",oh yeah?,,Original,FoxStart
line:6e4c47,"ich hab gehört, das ist eine lange Wanderung",i heard it's a long hike,,Original,FoxStart
line:34b8e9,ach ja?,"it is, eh?",,Player,FoxStart
line:ed5d70,meine Tante sagt immer so,my aunt's always like,,Player,FoxStart
line:215373,"""das ist doch nur eine kurze Wanderung!""","""it's just a short hike away!""",,Player,FoxStart
line:fb4e3a,aber sie ist voll die Outdoor-Nerdin,but she's a total outdoors geek,,Player,FoxStart
line:8c7a1f,also,so,,Player,FoxStart
line:b7e9d9,"ich glaub, sie unterschätzt das",i think she underestimates it,,Player,FoxStart
line:7ba994,würd ich auch sagen,i'd say so,,Original,FoxStart
line:726a9c,wenn wir gleichzeitig oben ankommen,if we make it up at the same time,If the player talks to them again.,Player,FoxStart
line:4286c4,musst du ein Foto von mir machen!,you'll have to get my picture!,,Player,FoxStart
line:4a5a70,klingt gut!,sounds like a plan!,,Original,FoxStart
line:b69196,bis dann da oben!,see ya there!,,Player,FoxStart
line:d8da86,das ist mir ein\nbisschen peinlich,this is a little\nbit embarrassing,Only if the Artist is painting the Goat Ranger.,Original,VisitorCenterStart
line:b49975,"ich glaub, ich bin nicht\nsehr fotogen",i don't think i'm\nvery photogenic,,Original,VisitorCenterStart
line:790618,"aber ich freu mich, dass ich\nseiner Kunst helfen kann!",but i'm glad i can\nhelp with his art!,,Original,VisitorCenterStart
line:773c2e,wie auch immer,anyway,,Original,VisitorCenterStart
line:7cc3e6,siehst gut aus mit dem Hut!,lookin' sharp in that hat!,Only if the player is wearing the Ranger Hat.,Original,VisitorCenterStart
line:9076cd,hallöchen!,howdy!,,Original,VisitorCenterStart
line:40a49b,was geht?,what's up?,,Original,VisitorCenterStart
line:663e36,kann ich eine <color=red>goldene Feder</color> kaufen?,can I buy a <color=red>golden feather?</color>,Dialogue choice.,Player,VisitorCenterStart
line:7c01cd,was für Merch verkaufst du?,what kind of merch do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:c822cd,nicht viel,nothing much,Dialogue choice.,Player,VisitorCenterStart
line:a7d95e,jup,yup,"If the player says ""nothing much.""",Original,VisitorCenterStart
line:e6c071,so ist das eben,that's how it goes,,Original,VisitorCenterStart
line:d2ce1b,wie kann ich dir helfen?,how can i help you?,"The first time the player talks to the Goat Ranger, having heard of Golden Feathers.",Original,VisitorCenterStart
line:21f53d,"ich hab gehört, ihr verkauft\nhier <color=red>goldene Federn</color>",i heard you sell <color=red>\ngolden feathers</color> here,,Player,VisitorCenterStart
line:2c9feb,"ah, stimmt!","ah, we do!",,Original,VisitorCenterStart
line:65be46,für 40 Münzen\nkannst du eine kaufen,you can buy one\nfor 40 coins,,Original,VisitorCenterStart
line:bc4372,die nehm ich!,i'll take it!,Dialogue choice.,Player,VisitorCenterStart
line:893486,was verkauft ihr sonst noch?,what else do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:5274f3,erstmal reicht's,i'm good for now,Dialogue choice.,Player,VisitorCenterStart
line:505bd5,wir verkaufen auch\nProvinzpark-Merch,we also sell provincial\npark merchandise,In response to the player saying bye.,Original,VisitorCenterStart
line:d739f6,"alles klar, mach's gut","alrighty, take care",,Original,VisitorCenterStart
line:bc241f,"äh,","um,","The first time the player talks to the Goat Ranger, NOT having heard of Golden Feathers.",Original,VisitorCenterStart
line:27d375,weiß nich,i dunno,,Original,VisitorCenterStart
line:6295ae,"mir geht's schon gut, glaub ich",i guess i'm fine,,Original,VisitorCenterStart
line:f627f3,alles klar!,alrighty!,,Original,VisitorCenterStart
line:9149a2,"sag Bescheid, wenn du eine\nWegbeschreibung brauchst oder was kaufen willst",let me know if you need directions\nor want to buy anything,,Original,VisitorCenterStart
line:8051f6,"oh, was verkauft ihr?","oh, what are you selling?",,Player,VisitorCenterStart
line:f74cad,"na ja, wir haben\nProvinzpark-Merch","well, we have provincial\npark merch",,Original,VisitorCenterStart
line:03b0f8,und ein paar Wanderutensilien\nwie <color=red>goldene Federn</color>,and some hiking supplies\nlike <color=red>golden feathers</color>,,Original,VisitorCenterStart
line:4996e6,was ist das?,what are those?,,Player,VisitorCenterStart
line:da421d,klingt cool,they sound cool,,Player,VisitorCenterStart
line:f56321,sie sind auch cool!,they are cool!,,Original,VisitorCenterStart
line:fd1b15,sie machen das Klettern leichter,they make rock climbing easier,,Original,VisitorCenterStart
line:852b3a,und in deinem Fall,and in your case,,Original,VisitorCenterStart
line:0f4a0c,helfen sie dir auch beim Fliegen,will also help you fly,,Original,VisitorCenterStart
line:a936ff,!!,!!,,Player,VisitorCenterStart
line:24358e,für 40 Münzen kannst du eine kaufen,you can buy one for 40 coins,,Original,VisitorCenterStart
line:b56114,die nehm ich!!,i'll take it!!,Dialogue choice.,Player,VisitorCenterStart
line:5294c3,was für Merch verkaufst du?,what kind of merch do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:68907f,erstmal reicht's,i'm good for now,Dialogue choice.,Player,VisitorCenterStart
line:c2141d,"alles klar, mach's gut","alrighty, take care",,Original,VisitorCenterStart
line:590cdd,eigentlich sind wir komplett ausverkauft,"actually, we're all sold out",If the player tries to buy feathers but they're sold out.,Original,BuyFeatherStart
line:811e78,<color=red>ein Junge</color> war vorhin hier\nund hat fast unseren\ngesamten Restbestand gekauft,<color=red>a boy</color> came by earlier\nand bought most of the\nremaining stock,The boy is highlighted because it hints you'll find him later.,Original,BuyFeatherStart
line:a6297a,der geht wohl auch\nwandern!,he must be going\non some hike!,,Original,BuyFeatherStart
line:8cdf8a,"klar, bitteschön!","sure, here ya go!",If the player buys a feather from them.,Original,BuyFeatherStart
line:069cfe,"das sind tatsächlich alle\nFedern, die wir haben",that's actually all\nthe feathers we have,After the player buys the last feather.,Original,BuyFeatherStart
line:4e8558,<color=red>ein Junge</color> war vorhin hier\nund hat fast unseren\ngesamten Restbestand gekauft,<color=red>a boy</color> came by earlier\nand bought most our\nremaining stock,,Original,BuyFeatherStart
line:d958fc,du musst woanders\nwelche finden,you'll have to find\nmore elsewhere,,Original,BuyFeatherStart
line:5fda34,sorry!,sorry!,,Original,BuyFeatherStart
line:522b92,klar! das macht 40 Münzen,sure! that'll be 40 coins,"If the player tries to buy, but doesn't have money.",Original,BuyFeatherStart
line:bf6622,"oh, warte",oh wait,,Player,BuyFeatherStart
line:e93615,ich hab nicht genug Geld,i don't have enough money,,Player,BuyFeatherStart
line:f011d1,...,...,,Player,BuyFeatherStart
line:f9fe9a,noch!,yet!,,Player,BuyFeatherStart
line:df579f,oh,oh,The next time the player doesn't have enough money.,Player,BuyFeatherStart
line:1cb666,"ja, hab ich vergessen",yeah i forgot,,Player,BuyFeatherStart
line:8cc5ff,ich muss noch mehr Geld auftreiben,i still need to find more cash,,Player,BuyFeatherStart
line:16706a,"<sprite name=""UpArrow"" tint=1> Besucherzentrum\n<sprite tint=1 name=""LeftArrow""> Habichtsgipfelpfad","<sprite name=""UpArrow"" tint=1> Visitor Center\n<sprite tint=1 name=""LeftArrow""> Hawk Peak Trail",This is a sign.,Original,VistorCenterCrossroadsStart
line:81143b,"Sid-Strand <sprite tint=1 name=""RightArrow"">\n<sprite tint=1 name=""DownArrow""> Shirleys Landspitze","Sid Beach <sprite tint=1 name=""RightArrow"">\n<sprite tint=1 name=""DownArrow""> Shirley's Point",,Original,VistorCenterCrossroadsStart
line:eb7a43,"<sprite name=""UpArrow"" tint=1> Schwarzholzpfad\n<sprite name=""LeftArrow"" tint=1> Habichtsgipfelpfad","<sprite name=""UpArrow"" tint=1> Blackwood Trail\n<sprite name=""LeftArrow"" tint=1> Hawk Peak Trail",,Original,KioskSignStart
line:1024d7,"<sprite name=""DownArrow"" tint=1> Besucherzentrum\nWeißküstenpfad <sprite name=""RightArrow"" tint=1>","<sprite name=""DownArrow"" tint=1> Visitor Center\nWhite Beach Trail <sprite name=""RightArrow"" tint=1>",,Original,KioskSignStart
line:4957ee,"<sprite name=""UpArrow"" tint=1> Habichtsgipfelpfad\n<sprite name=""UpArrow"" tint=1> Gutbachweg","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""UpArrow"" tint=1> Good Creek Path",,Original,HawkPeakRiverSignStart
line:628d3d,"<sprite name=""LeftArrow"" tint=1> Königsgrat\nSchwarzholzpfad <sprite name=""RightArrow"" tint=1>","<sprite name=""LeftArrow"" tint=1> Royal Ridge\nBlackwood Trail <sprite name=""RightArrow"" tint=1>",,Original,HawkPeakRiverSignStart
line:326ae7,"<sprite name=""UpArrow"" tint=1> Habichtsgipfelpfad\n<sprite name=""UpArrow"" tint=1> Gutbachweg","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""UpArrow"" tint=1> Good Creek Path",,Original,RoyalRidgeSignStart
line:ede0b0,"<sprite name=""DownArrow"" tint=1> Schwarzholzpfad\n<sprite name=""LeftArrow"" tint=1> Königsgrat","<sprite name=""DownArrow"" tint=1> Blackwood Trail\n<sprite name=""LeftArrow"" tint=1> Royal Ridge",,Original,RoyalRidgeSignStart
line:b2763c,"<sprite name=""UpArrow"" tint=1> Habichtsgipfelpfad\n<sprite name=""DownArrow"" tint=1> Gutbachweg\nMeteorsee <sprite name=""RightArrow"" tint=1>","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""DownArrow"" tint=1> Good Creek Path\nMeteor Lake <sprite name=""RightArrow"" tint=1>",,Original,FireTowerSnowSignStart
line:e9a55c,"<sprite name=""UpArrow"" tint=1> Habichtsgipfelpfad","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail",,Original,HawkPeakSignStart
line:4da2e1,Für diese Wanderung werden mindestens\n<color=yellow>7 goldene Federn</color> benötigt.,At least <color=yellow>7 Golden Feathers</color> are\nrequired to complete this hike.,,Original,HawkPeakSignStart
line:12ab30,Unerfahrene Wanderer sollten mehr einplanen.,Novice hikers should consider using more.,,Original,HawkPeakSignStart
